G4NDL
ENDF/B-VI.8
MT:454  MF:8  AWR:229.051
FSP:34073  mFSP:0  Y:0
FSP:34073  mFSP:1  Y:0
FSP:34074  mFSP:0  Y:0
FSP:34075  mFSP:0  Y:1.18e-12
FSP:34076  mFSP:0  Y:1.27e-10
FSP:34077  mFSP:0  Y:8.15e-10
FSP:34077  mFSP:1  Y:5.97e-09
FSP:34078  mFSP:0  Y:3.07e-07
FSP:34079  mFSP:0  Y:6.93e-06
FSP:34079  mFSP:1  Y:9.45e-07
FSP:34080  mFSP:0  Y:0.00010219
FSP:34081  mFSP:0  Y:8.697e-05
FSP:34081  mFSP:1  Y:0.00063779
FSP:34082  mFSP:0  Y:0.00387414
FSP:34083  mFSP:0  Y:0.00910485
FSP:34083  mFSP:1  Y:0.00186484
FSP:34084  mFSP:0  Y:0.0258918
FSP:34085  mFSP:0  Y:0.0124616
FSP:34085  mFSP:1  Y:0.0124398
FSP:34086  mFSP:0  Y:0.0148933
FSP:34087  mFSP:0  Y:0.00615414
FSP:34088  mFSP:0  Y:0.00159858
FSP:34089  mFSP:0  Y:0.00024518
FSP:34090  mFSP:0  Y:2.26596e-05
FSP:34091  mFSP:0  Y:1.24995e-06
FSP:34092  mFSP:0  Y:4.79981e-08
FSP:34093  mFSP:0  Y:2.59538e-10
FSP:34094  mFSP:0  Y:1.46e-11
FSP:34095  mFSP:0  Y:1.00885e-12
FSP:34096  mFSP:0  Y:0
FSP:35075  mFSP:0  Y:0
FSP:35077  mFSP:0  Y:7.54e-14
FSP:35077  mFSP:1  Y:2.84e-13
FSP:35078  mFSP:0  Y:5.95e-11
FSP:35079  mFSP:0  Y:1.12e-09
FSP:35079  mFSP:1  Y:4.23e-09
FSP:35080  mFSP:0  Y:5.1e-08
FSP:35080  mFSP:1  Y:1.81e-07
FSP:35081  mFSP:0  Y:5.5e-06
FSP:35082  mFSP:0  Y:6.916e-05
FSP:35082  mFSP:1  Y:2.558e-05
FSP:35083  mFSP:0  Y:0.00086928
FSP:35084  mFSP:0  Y:0.00223232
FSP:35084  mFSP:1  Y:0.00418722
FSP:35085  mFSP:0  Y:0.0176301
FSP:35086  mFSP:0  Y:0.0150899
FSP:35086  mFSP:1  Y:0.0150853
FSP:35087  mFSP:0  Y:0.0358261
FSP:35088  mFSP:0  Y:0.0273771
FSP:35089  mFSP:0  Y:0.0130411
FSP:35090  mFSP:0  Y:0.00381017
FSP:35091  mFSP:0  Y:0.00068662
FSP:35092  mFSP:0  Y:8.812e-05
FSP:35093  mFSP:0  Y:6.71974e-06
FSP:35094  mFSP:0  Y:3.15e-07
FSP:35095  mFSP:0  Y:2.61204e-08
FSP:35096  mFSP:0  Y:1.33e-10
FSP:35097  mFSP:0  Y:1.88088e-12
FSP:36077  mFSP:0  Y:0
FSP:36078  mFSP:0  Y:0
FSP:36079  mFSP:1  Y:7.7e-14
FSP:36079  mFSP:0  Y:7.7e-14
FSP:36080  mFSP:0  Y:2.31e-11
